payment_id,customer_id,payment_method,date,amount
1,740,bank card online,2021-02-21 08:25:07,15.15
2,244,bank card online,2020-09-14 08:54:00,40.99
3,25,internet banking,2019-01-10 01:50:25,50.23
4,134,auto payment from a bank card,2021-02-07 01:41:36,43.53
5,562,internet banking,2020-02-24 11:41:55,58.86
6,311,online wallet,2021-12-22 14:50:21,53.77
7,811,payment in stores,2021-01-19 20:32:18,123.79
9,389,internet banking,2021-09-22 09:45:25,110.5
10,1,internet banking,2020-09-10 14:56:22,93.4
11,753,online wallet,2021-10-04 07:16:46,40.12
12,636,payment in stores,2020-05-07 13:29:47,21.82
13,620,auto payment from a bank card,2021-10-29 09:25:01,91.64
14,357,internet banking,2019-01-28 08:36:46,28.83
15,125,bank card online,2021-04-06 10:48:57,58.24
16,43,internet banking,2021-10-22 21:29:03,71.97
17,683,auto payment from a bank card,2019-05-04 05:58:43,44.78
18,61,bank card online,2019-06-05 23:46:40,23.49
19,517,internet banking,2019-09-27 12:12:55,46.04
20,108,bank card online,2019-04-11 15:27:45,66.06
21,372,online wallet,2021-02-17 10:26:34,20.61
22,209,internet banking,2020-12-24 11:54:50,22.1
23,445,internet banking,2019-05-20 21:51:03,41.33
24,45,bank card online,2020-05-16 13:27:07,168.59
25,854,internet banking,2019-06-19 01:00:26,32.14
26,513,bank card online,2019-10-31 17:35:08,85.91
27,409,internet banking,2021-08-24 19:40:04,75.26
28,135,auto payment from a bank card,2021-03-22 10:11:11,24.61
29,522,payment in stores,2020-03-06 05:07:17,36.44
31,724,online wallet,2021-10-08 23:56:28,25.74
32,800,payment in stores,2019-06-19 06:45:55,66.44
33,135,bank card online,2021-03-13 01:09:09,129.96
35,193,online wallet,2019-04-08 01:37:49,26.32
36,77,auto payment from a bank card,2020-06-02 01:29:41,73.83
37,982,bank card online,2021-05-06 23:02:50,117.35
38,225,bank card online,2020-11-28 20:09:53,151.42
39,792,online wallet,2021-09-02 04:00:47,25.6
41,298,internet banking,2021-07-16 00:33:30,12.47
42,772,auto payment from a bank card,2019-10-20 05:00:40,55.03
43,642,auto payment from a bank card,2021-04-23 06:08:32,42.19
44,881,internet banking,2021-07-02 00:53:29,52.02
45,110,bank card online,2021-09-25 10:44:19,49.63
46,700,internet banking,2020-07-03 05:56:28,91.71
47,190,online wallet,2019-09-05 20:59:17,82.58
48,650,internet banking,2019-01-20 19:49:43,57.69
49,944,auto payment from a bank card,2020-07-23 00:02:31,46.87
50,67,sms payments,2021-02-16 19:26:33,44.11
51,829,internet banking,2019-07-07 22:35:20,37.51
52,640,bank card online,2019-01-11 23:39:06,36.12
53,190,internet banking,2019-01-20 07:46:34,69.27
54,791,bank card online,2020-11-25 19:39:33,69.58
55,513,payment in stores,2019-07-14 19:54:25,21.24
57,581,online wallet,2021-12-23 20:36:45,123.05
58,229,auto payment from a bank card,2021-12-28 13:50:54,56.05
61,561,internet banking,2021-12-15 03:15:03,40.38
62,524,ATM,2021-08-12 00:31:34,81.39
63,109,internet banking,2021-10-27 08:10:59,51.51
64,977,bank card online,2021-09-02 08:34:59,29.79
66,891,internet banking,2019-12-28 00:36:35,51.51
67,930,internet banking,2020-12-13 08:46:39,50.58
68,943,online wallet,2020-09-15 19:52:24,20.14
69,912,online wallet,2020-11-25 13:32:09,52.12
70,201,ATM,2020-03-02 04:02:04,67.15
71,858,bank card online,2021-09-04 09:13:33,54.5
72,889,internet banking,2021-04-18 22:44:51,60.95
73,169,auto payment from a bank card,2021-01-22 01:11:50,20.94
75,945,bank card online,2019-05-15 17:07:55,29.29
76,910,payment in stores,2020-02-19 11:48:13,60.88
77,255,sms payments,2020-09-30 11:08:22,73.75
78,16,bank card online,2021-11-18 17:14:50,45.66
79,434,internet banking,2021-11-22 14:12:53,39.47
80,516,bank card online,2019-05-28 07:23:29,67.37
81,322,auto payment from a bank card,2019-04-18 12:44:49,63.29
83,214,internet banking,2020-10-05 09:53:52,29.74
84,233,internet banking,2019-04-30 11:09:48,39.66
85,514,internet banking,2021-01-26 09:33:51,29.27
86,774,internet banking,2020-01-02 20:28:54,30.33
87,786,bank card online,2020-02-27 15:48:03,77.61
88,627,bank card online,2020-08-20 07:38:11,41.22
89,810,internet banking,2020-08-07 14:21:21,173.41
90,792,auto payment from a bank card,2019-05-12 02:45:51,49.74
92,841,internet banking,2021-02-21 04:44:12,39.66
93,661,bank card online,2020-07-28 13:50:50,123.81
95,524,internet banking,2021-05-05 10:01:52,47.93
96,37,online wallet,2020-04-01 02:25:44,37.99
97,871,internet banking,2019-02-14 13:10:58,25.13
98,742,internet banking,2021-09-05 07:24:49,90.92
99,398,internet banking,2020-07-05 11:04:26,76.08
100,397,bank card online,2020-07-14 15:21:29,52.41
101,418,online wallet,2021-08-06 07:49:19,49.95
102,211,bank card online,2021-12-20 18:07:54,34.08
105,800,auto payment from a bank card,2020-01-24 11:26:54,59.33
106,171,auto payment from a bank card,2020-08-16 11:10:28,41.77
107,867,payment in stores,2019-03-30 10:04:09,102.56
108,194,auto payment from a bank card,2021-03-25 09:16:39,55.28
109,58,auto payment from a bank card,2021-09-08 10:37:48,31.59
110,322,internet banking,2021-02-14 06:56:06,41.6
111,45,payment in stores,2020-01-23 14:35:56,82.06
112,480,bank card online,2021-09-18 01:04:07,35.02
113,742,internet banking,2021-08-18 15:35:03,29.73
114,6,ATM,2019-11-16 13:26:16,55.38
115,301,internet banking,2021-06-23 20:25:32,143.47
116,713,online wallet,2019-04-10 18:32:46,97.99
118,569,bank card online,2019-11-20 19:29:07,59.07
119,120,payment in stores,2019-08-01 16:10:53,77.16
120,466,online wallet,2020-03-15 09:41:04,111.32
121,120,internet banking,2021-12-01 15:44:38,31.43
122,361,internet banking,2019-09-25 15:57:20,71.34
123,746,internet banking,2020-10-26 07:37:39,115.43
124,992,internet banking,2020-01-12 11:05:24,30.1
126,394,online wallet,2020-02-16 02:03:14,29.21
127,326,bank card online,2020-02-27 06:27:47,82.39
128,104,bank card online,2019-12-15 16:29:23,88.56
129,804,bank card online,2021-12-04 09:31:16,86.83
130,485,auto payment from a bank card,2021-01-25 07:17:50,53.12
131,885,bank card online,2020-06-11 06:53:10,84.44
132,970,internet banking,2019-02-03 23:58:59,44.24
133,523,bank card online,2020-07-14 06:27:22,33.91
134,610,ATM,2020-11-27 01:41:38,42.69
135,308,internet banking,2021-02-14 08:39:30,32.84
137,244,online wallet,2020-10-14 11:26:56,56.33
138,207,internet banking,2021-04-17 22:11:41,97.58
139,287,online wallet,2020-09-11 09:08:50,27.3
140,128,online wallet,2021-06-25 22:29:01,35.93
141,685,online wallet,2019-07-26 12:00:01,73.43
142,604,internet banking,2021-10-10 13:43:10,37.01
143,399,internet banking,2020-04-26 17:18:21,74.34
146,934,internet banking,2019-04-16 05:15:30,84.16
147,963,online wallet,2021-11-10 13:27:31,52.63
148,228,ATM,2020-03-04 18:14:17,22.84
149,933,internet banking,2021-03-03 13:58:13,35.34
150,228,bank card online,2021-05-14 12:30:31,189.37
151,82,auto payment from a bank card,2021-01-28 10:20:18,43.01
152,912,ATM,2019-08-03 19:19:22,47.24
153,70,sms payments,2019-12-26 00:26:22,66.94
154,430,auto payment from a bank card,2021-07-23 07:04:08,15.73
155,762,internet banking,2019-11-06 23:59:41,46.69
156,971,internet banking,2019-12-19 05:34:25,34.17
157,547,bank card online,2020-01-13 12:06:11,78.85
158,582,auto payment from a bank card,2020-05-11 01:58:58,53.16
161,97,internet banking,2021-06-23 16:01:07,52.91
162,192,internet banking,2019-10-28 15:24:05,21.34
164,841,internet banking,2019-12-26 08:40:33,75.86
165,172,ATM,2020-05-29 23:54:20,50.01
166,766,online wallet,2019-05-12 03:47:23,55.86
168,466,internet banking,2021-04-18 06:16:32,170.0
169,360,internet banking,2021-04-30 19:02:06,48.37
170,324,payment in stores,2019-10-06 13:25:05,65.72
171,323,internet banking,2020-09-17 14:27:58,40.26
172,523,internet banking,2021-09-27 00:54:40,89.73
175,74,bank card online,2021-12-30 17:58:45,91.7
177,586,online wallet,2019-04-24 18:42:35,36.57
178,916,online wallet,2019-05-19 05:41:53,25.34
179,56,internet banking,2019-09-07 07:32:54,54.88
180,600,bank card online,2021-07-15 02:42:42,57.83
181,594,bank card online,2021-10-06 11:19:46,52.75
182,773,online wallet,2021-01-31 09:18:56,38.42
183,323,online wallet,2020-01-26 11:37:39,30.11
184,72,internet banking,2019-11-25 15:31:21,63.71
185,468,auto payment from a bank card,2020-01-28 22:44:44,43.03
186,672,sms payments,2021-05-20 14:25:52,27.18
187,997,bank card online,2021-01-28 09:24:25,125.28
188,786,sms payments,2021-10-02 18:46:07,30.37
190,469,sms payments,2021-08-23 19:56:58,29.2
191,13,online wallet,2021-06-24 21:19:02,90.9
192,183,internet banking,2021-12-24 19:23:16,51.62
193,796,bank card online,2020-11-21 16:01:26,119.12
194,975,bank card online,2021-09-15 03:24:02,120.65
195,166,internet banking,2019-05-27 22:52:44,39.47
196,112,online wallet,2021-09-06 08:32:43,49.27
197,379,internet banking,2021-07-15 09:51:26,112.97
198,746,payment in stores,2021-05-04 23:21:51,84.41
199,121,bank card online,2019-05-04 12:25:55,37.6
200,272,auto payment from a bank card,2019-09-07 22:03:52,24.22
201,95,ATM,2021-04-25 02:37:58,58.54
202,197,bank card online,2020-08-23 12:08:26,94.92
203,871,sms payments,2021-04-05 21:14:28,45.35
205,50,internet banking,2019-09-10 21:34:18,34.97
206,370,internet banking,2021-10-03 05:08:47,456.88
207,826,internet banking,2019-06-01 08:10:36,50.7
210,780,internet banking,2021-02-16 02:31:27,6.61
211,776,bank card online,2020-04-10 22:19:50,72.49
212,174,internet banking,2021-07-31 08:11:07,13.27
213,428,bank card online,2020-10-23 09:48:35,27.96
215,733,bank card online,2021-06-14 02:09:46,73.83
216,877,bank card online,2019-03-28 23:59:51,17.65
217,819,bank card online,2021-11-03 05:56:27,22.61
218,370,internet banking,2020-06-02 08:33:55,29.03
